year rel_temperature rel_pptn
   300 -1.2674867 -0.0981997
   299 -1.2630512 -0.0978561
   298 -1.2586157 -0.0975124
   297 -1.2541803 -0.0971688
   296 -1.2497448 -0.0968252
   295 -1.2453093 -0.0964815
   294 -1.2408738 -0.0961379
   293 -1.2396540 -0.0960434
   292 -1.2398380 -0.0960576
   291 -1.2400220 -0.0960719
   290 -1.2402060 -0.0960861
   289 -1.2403900 -0.0961004
   288 -1.2405740 -0.0961146
   287 -1.2407580 -0.0961289
   286 -1.2409420 -0.0961432
   285 -1.2411260 -0.0961574
   284 -1.2413100 -0.0961717
   283 -1.2414940 -0.0961859
   282 -1.2416780 -0.0962002
   281 -1.2418620 -0.0962144
   280 -1.2420460 -0.0962287
   279 -1.2422300 -0.0962429
   278 -1.2424140 -0.0962572
   277 -1.2425980 -0.0962715
   276 -1.2427820 -0.0962857
   275 -1.2429660 -0.0963000
   274 -1.2431500 -0.0963142
   273 -1.2433340 -0.0963285
   272 -1.2435180 -0.0963427
   271 -1.2437020 -0.0963570
   270 -1.2438860 -0.0963712
   269 -1.2440700 -0.0963855
   268 -1.2442540 -0.0963998
   267 -1.2444380 -0.0964140
   266 -1.2446220 -0.0964283
   265 -1.2448060 -0.0964425
   264 -1.2449900 -0.0964568
   263 -1.2451740 -0.0964710
   262 -1.2453580 -0.0964853
   261 -1.2455420 -0.0964995
   260 -1.2457260 -0.0965138
   259 -1.2459100 -0.0965281
   258 -1.2460940 -0.0965423
   257 -1.2462780 -0.0965566
   256 -1.2464620 -0.0965708
   255 -1.2466460 -0.0965851
   254 -1.2468300 -0.0965993
   253 -1.2470140 -0.0966136
   252 -1.2471980 -0.0966278
   251 -1.2473820 -0.0966421
   250 -1.2475660 -0.0966564
   249 -1.2477500 -0.0966706
   248 -1.2479340 -0.0966849
   247 -1.2481180 -0.0966991
   246 -1.2483020 -0.0967134
   245 -1.2484860 -0.0967276
   244 -1.2486700 -0.0967419
   243 -1.2488540 -0.0967561
   242 -1.2490380 -0.0967704
   241 -1.2492220 -0.0967847
   240 -1.2494060 -0.0967989
   239 -1.2495900 -0.0968132
   238 -1.2497740 -0.0968274
   237 -1.2499580 -0.0968417
   236 -1.2501420 -0.0968559
   235 -1.2503260 -0.0968702
   234 -1.2505100 -0.0968844
   233 -1.2506940 -0.0968987
   232 -1.2508780 -0.0969130
   231 -1.2510620 -0.0969272
   230 -1.2512460 -0.0969415
   229 -1.2514300 -0.0969557
   228 -1.2516140 -0.0969700
   227 -1.2517980 -0.0969842
   226 -1.2519820 -0.0969985
   225 -1.2521660 -0.0970127
   224 -1.2523500 -0.0970270
   223 -1.2525340 -0.0970413
   222 -1.2527180 -0.0970555
   221 -1.2529020 -0.0970698
   220 -1.2530860 -0.0970840
   219 -1.2532700 -0.0970983
   218 -1.2534540 -0.0971125
   217 -1.2536380 -0.0971268
   216 -1.2538220 -0.0971410
   215 -1.2540060 -0.0971553
   214 -1.2540060 -0.0971553
   213 -1.2499931 -0.0968444
   212 -1.2459802 -0.0965335
   211 -1.2419673 -0.0962226
   210 -1.2379544 -0.0959117
   209 -1.2339415 -0.0956008
   208 -1.2299286 -0.0952899
   207 -1.2259157 -0.0949790
   206 -1.2219028 -0.0946681
   205 -1.2178899 -0.0943572
   204 -1.2138771 -0.0940463
   203 -1.2098642 -0.0937354
   202 -1.2058513 -0.0934245
   201 -1.2018384 -0.0931136
   200 -1.1978255 -0.0928027
   199 -1.1938126 -0.0924918
   198 -1.1897997 -0.0921809
   197 -1.1857868 -0.0918700
   196 -1.1817739 -0.0915590
   195 -1.1777610 -0.0912481
   194 -1.1737481 -0.0909372
   193 -1.1697352 -0.0906263
   192 -1.1657223 -0.0903154
   191 -1.1617094 -0.0900045
   190 -1.1576965 -0.0896936
   189 -1.1536836 -0.0893827
   188 -1.1496707 -0.0890718
   187 -1.1456578 -0.0887609
   186 -1.1416449 -0.0884500
   185 -1.1376321 -0.0881391
   184 -1.1336192 -0.0878282
